"address";"value"
"dboiJq5trwMDYQC9orvzXGrxUGSXqjJZ5u";"2000.99900001"
"dRHrmR6Um3pyxZyrFPr1UkzSsMJe9JHz3T";"2000.04997732"
"dYHKRMXH3CcoEUYpic3iCXBu9dkwdQRdYH";"1937.14978599"
"dGeQ2baUmUA453117VNfTPhQQL7bbfDCwA";"1926.46278689"
"dYmZGoRBF6XVrDNs4nfVB7yvxMqY8psPmT";"1917.57719907"
"dbgYapAER4fCZ8hu6ipCW1Ek4w8kmBnpzo";"1914.71057861"
"dKT21QUGfV8rnxFCKgnhKywgzR6PNGHXhP";"1877.01794287"
"dJHQ5rFTreM2XwcD2SiLsgNfbxiSjxeMrF";"1875.72868165"
"dQvsjNg1pGrwodx4dx4PRVesgxzdqAwXid";"1857.52556803"
"dNyuh76f3osUc8UDRyGniSeZeN62yxsRes";"1855.07157479"
"dHNzqVBDEvbF3k2wjz5rCBHpFv5w9o41DU";"1850.45000001"
"dKwVhAEp4jbXU6gJ8sCekCS2M1fABJPi4K";"1836.02434784"
"dVT4VWrHSrxCACeuE6iSZLCiH8aesuyHrs";"1799.50000001"
"dMKyMB5c55hrHXEQSqv5Q74mVF8vZcDwnv";"1791.00000001"
"db1sBeZZ7jq7WTU3HugvKvu2ipkXkcX3B2";"1774.09296759"
"dF9pfQe1pw451HZjjGRuBybx1UY5GRXJfg";"1760.80297401"
"dKB5XbcBFcoWWqM8nSJUYhgP7wmU6ntL8w";"1752.39022418"
"dKvXMdxGVnyfM5a87RukqdzgAbLKpdxhrQ";"1723.73084201"
"dKK67KB8zcPHBSckp2eiQAQ2ZNLDBmLnsk";"1720.66063701"
"dcS8DP6e38paA9qSWFGDQ2NhXghGpcX193";"1715.00000001"
"dcNUufnpfkm4SUGaGsXmCwJThcaoAp2fnp";"1713.36422959"
"dF8agSstAoCKLGaY6x5ro2kcPk6EvCvVjV";"1681.03144011"
"dS2HHSuJmyhGKRqbU77SzxRdKWghyYCiFs";"1673.26065631"
"dWFDXgEpcSAVss4Z9uZyArpTzzp2KpSMnV";"1663.52352322"
"dPKx3xoi1EGwb5fuFgjUbUFQxH5HqHA23X";"1643.05043064"
"davkNeYq7nKahedNnz8NGHSybtkSgWbyck";"1639.67633007"
"dQsjmWhnHeHHsntXqt6aJfw2a2iNwAB5Yj";"1624.56000001"
"dXLC53R3QRpiBE9pPxhki5gBLbLZ2aDS3C";"1623.47670794"
"dLGbr2LbpQevyissaxkevdU8QPh3Eggo4G";"1608.16550001"
"dVdPTEPXkSYW6757ctZTEsfCHkw7G7uNnC";"1607.91849985"
"dQJ7Cwi8E7Q3VkZhpiUhPopfeZgpjthV69";"1602.70000001"
"dPekcitFyCgZqAkfviXNEVRsFMVHPgh726";"1597.77465128"
"dRjZ4nxH63NuHtQ6HS1qXJVC7L3ULdzFLt";"1571.94978987"
"dY7AtPvCKZeAQW5BbNP1L3WGdYxUpcwknK";"1568.64996969"
"dR6MuovsWfVDbvdisrij9wsBMCgTVS6Zs5";"1556.70000001"
"dX9DRRiC6DpxuX1QqgVx8obw4XyDhtYV4s";"1552.7308062"
"dRb6UV92zwVvAuP2FrYiUSxuYqMBfdtuJR";"1543.84213773"
"dMGsNpbe7Yr3DY1e5BQrpjeERV74QBRd7p";"1538.86200001"
"dVSc1yoBK362YKYMPCeHoM8Xntg8hpuE1B";"1527.87595658"
"dVT6BWcxrfVRpG8cmDnz5ndUm725ybzjX7";"1505.90911881"
"dWWdc69s318ZBGMvS4YwrGhTqefFPA9f6f";"1505.00962415"
"dGsKntbm6NA9Re5NNdwbzdLYcR32TkjSsb";"1450.55681888"
"dXtnXSe3KtkoLNWNjM19qVxTZPH4xCnSaY";"1411.90063519"
"dY4Ka8Rnjo3muKGsdfngs8Ym2A4JmKfu9v";"1400.92666892"
"dLjsHuycjNoUpbnSYb3L6v6pY4PbDtW7t8";"1399.125319"
"daJz2rW2ZQ4XX2cxpZGxgJDSn8Jg3da4MJ";"1379.08000001"
"dZnbxq5aSzCuFPRGdGJbMwQxaAkQD63gVa";"1339.09450833"
"dEanPkNHgDGNt1DBZYwgJVZV2KEns9Qpns";"1335.60476981"
"dRYNapoqrVpmkkwooexV7kUYVtYsyM6q3R";"1334.75533084"
"dJA6U5yfmgUFgGUyrfsgjZ4yzo2g6LkUWh";"1326.56851774"
"dVRzL6VrK1YrJoJHB83SX9ndNnHvsrrb28";"1326.33330449"
"dQ4866iquz11BR63gZQoYXyqvnWRSznowH";"1299.95347117"
"dGmc4ssfkQhegm2s2ULuDhzrAPPkMKcUmv";"1224.10195194"
"dTNAR9zV1w5WAsUUni1nNmTji4pG7VBvTL";"1187.70059743"
"daccZtSndPbfVnsUZBuSJhhnCKhNvCKEK2";"1184.99800001"
"dEUNEepJQyN3ic6Dz933Fxhga6AthThvRu";"1184.73000001"
"dYyasutPQx6VPRTxLfUaiJSxBbnR1dnF38";"1179.808244"
"dPuAeLJ9N1wHzWqPZ8BTfLvRyCX3pNHVLw";"1166.47000001"
"dUQU3faCLx8AoTTwTz7yAbhndSHn9ntJoA";"1163.67382877"
"dQLSYGHq2dLaJV99ZjwhHE7bwZMvB5WCvi";"1158.2668092"
"dNPYbfw5XGMBeSzP3f29Tye2LGhJSE6P3b";"1156.20730023"
"dKM7fK6KfiQXtNSrUm4PaGpUchSw87Wwc2";"1143.6534148"
"dFSgS2wYkCLTuBHDyH5Yb3Gr2ZuUPDWbBo";"1139.76960667"
"dQTKV4RAJK6LqzmXLEb4NgxkzWmJ3Asj4y";"1139.47383383"
"dPefTXKV6xiioRmmc6Yw1QfEk4TTgnM31T";"1124.94467925"
"dGNBjThCRr4nek8sPzuvKqe1sn5r5rsfzS";"1113.47762741"
"dLZSVJtyn3SwMvpNp7YDKKaTA9RsihSLm3";"1111.16264846"
"dL31y9W9jA8GdK3VDhFTjmQWXC8eX8DG3w";"1109.00000001"
"dTFDYwUMUeXnRoP1K5iD8KMq8h61hX1iPX";"1095.8249768"
"dH45u5mdqBgsAxYm2SgQQ1zP6WXjVX8pEX";"1081.77521613"
"dGwCFTkZVmgjWQUXXgKiWUbs2B1P6UHdRQ";"1080.00000001"
"db565dRb68d3RJBvoWnn2NxeS98dvkvdn5";"1077.49608737"
"dPjs5zgzeqEyxx4nNsespnsgyLXEXvbMsZ";"1076.54868617"
"dPUQ1jBgAPPTQMCJGcEA8oL9SCaEcPNoTP";"1062.68795037"
"daoHcEtmMkqxBnM1o4hpw2ZeddyVKGi4F8";"1053.06580601"
"dJXaqc7JzZcG5iqf8VfHD4BQvzRuWgz62z";"1049.85563883"
"db2hagottsmUAZnYm8ELSoduFD9ms41Qfs";"1048.97518104"
"dH6aqV5mEtCQuqaZSi8z62p4G3dDKSHwbr";"1038.15900801"
"dUz4Dc8jUjjt8epHZYBGnggpNiAALc9ANc";"1031.63305501"
"dZ3oGPrHs2X1mrtnKV6shZr5m2eZeKZAFT";"1025.38502475"
"dPz2weFeWDCYHuYSWe4Znsp45N4tq5Vfrd";"1022.44647632"
"dWRhzKi1qiBM3ZHntv13cToXtHBYK644Vv";"1020.45908695"
"dKXyTiXVBMs8mX1ZFT3t15SqYLKqW2EqRe";"1016.99580001"
"dJnnv5SPa1drDgK4Q3JK5P67iWCxL5TYHD";"1014.86902791"
